,PLExp,URef,IECturbc,TwrBsMyt_[kN-m] max,TwrBsMyt_[kN-m] stddev,TwrBsMyt_[kN-m] ST_DEL,RootMyb1_[kN-m] mean,RootMyb1_[kN-m] max,RootMyb1_[kN-m] stddev,RootMyb1_[kN-m] ST_DEL,RootMxb1_[kN-m] mean,RootMxb1_[kN-m] max,RootMxb1_[kN-m] stddev,RootMxb1_[kN-m] ST_DEL,YawBrMyn_[kN-m] mean,YawBrMyn_[kN-m] max,YawBrMyn_[kN-m] stddev,YawBrMyn_[kN-m] ST_DEL
0,1.266881658323109,5.182627230882645,41.395759396255016,106951.21860565193,29597.37956772557,32766.93538415948,14261.734591090422,26669.20904860122,4773.127100784695,11511.676751821737,892.5203918178423,15988.556280151406,9902.865499013153,19986.87226908224,-41446.37548685693,-31730.06764214569,2759.379673857507,2830.1379660436137
1,1.0079725564457476,4.450660847127438,79.79321745224297,145171.29145440855,39785.948876118884,57888.70035385248,10478.729534601633,29576.561622875957,5945.908765232872,10796.14608411062,876.3241382303871,18795.365398034774,9558.7650536961,19978.258151490965,-44972.074631232266,-26793.5021010782,4325.141460487059,4636.749168217668
2,0.4810480783693492,8.051041975617409,27.430244302377105,144514.01831929898,29876.090049531922,21526.12997330253,20921.696578806608,42643.62065246014,6181.099472084399,15673.885622311915,2276.8449182933537,19406.09375864616,9817.514783506384,20783.19918535137,-39954.326777509385,-29806.338546555704,3996.921609343411,4188.530194894447
3,0.5287520202808083,11.812011502683164,9.221209539100528,155726.94246909668,14736.029008403235,12575.624211649467,24651.649896329527,40041.69627088667,6493.4756696480745,15806.171286083189,977.7052047648882,18268.14319953637,10039.317432646521,21004.10398072474,-35264.58217901977,-29772.29024393195,2116.3037173728235,2258.83689725723
4,0.6343671301379799,7.462755363434553,31.7408645991236,160618.68002792716,42756.93552254849,25005.269004918555,18729.86838370607,43004.28868870034,7399.251554536512,18543.904496794046,1803.9836073510623,20642.226732794537,9727.156372662239,20358.825666192344,-41021.306102897965,-28821.703505710513,3990.5877364479397,4206.239869423411
5,-0.0771015038713812,20.61245085299015,12.785828299820423,76498.22903887737,14763.71931353145,24143.2292932065,12770.645290282866,28234.277974018714,4824.777165439201,13934.33195890075,-649.2614258749621,15266.928147375103,9072.688748188206,18780.612417650125,-52079.9330538825,-34591.97923558819,4512.784243349505,4755.133253904622
6,0.8433600363321601,10.741385329514742,22.2764880862087,165773.26153649375,27267.005710209516,29276.51964929926,24794.99112095584,45731.2890338857,9628.140884126804,22943.837474322787,1707.3684189368082,20119.27239675528,10529.220650550447,22015.54252715169,-31732.827356141846,-17121.61025013325,4095.180136487763,4145.737541896494
7,-0.2146838026121258,6.27054700255394,7.324958732351661,38155.16916549585,5211.411216032317,7081.693444024981,14716.08821638481,20028.180065556317,2120.93815122184,5042.245552920729,1352.520118197517,14968.541854320614,9335.521187865867,19067.98161424835,-51088.12316065688,-48815.14201159509,702.1628482055748,522.5777594354995
8,-0.1403883702121675,12.04955806583166,16.807136172428727,151438.56438857265,20092.29522599801,23218.481324984914,24371.585320413156,39706.27442187608,4463.049235441039,14578.519417831729,750.2080052262287,18274.259009805806,9337.282687735053,19433.38285998009,-50410.72514355696,-39629.09113740456,3516.905785286711,3404.9924880232484
9,0.7089302428066728,6.086555659770966,52.48561520129442,146247.83023870765,38408.92359882027,44055.30683271405,12646.080362032884,39956.42524975583,7036.885783645227,15500.434990797155,1421.5930091986374,17975.946218694626,9828.380297124546,19872.562936083323,-41797.28083092744,-24798.537875489776,3808.419753457231,4528.1717379109505
